Date,Location,Percent with one dose,state,state_po,state_fips,STATEFP,STNAME,Total population,candidatevotes,totalvotes,party_simplified,fractionalvotes,day_num
2021-02-26,CO,0.195,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,13
2021-02-25,CO,0.191,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,12
2021-02-24,CO,0.188,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,11
2021-02-23,CO,0.185,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,10
2021-02-22,CO,0.185,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,9
2021-02-21,CO,0.182,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,8
2021-02-20,CO,0.17800000000000002,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,7
2021-02-19,CO,0.17300000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,6
2021-02-18,CO,0.14800000000000002,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,5
2021-02-17,CO,0.14300000000000002,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,4
2021-02-16,CO,0.139,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,3
2021-02-15,CO,0.135,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,2
2021-02-14,CO,0.127,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,1
2021-02-13,CO,0.122,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,0
2021-07-22,AR,0.555,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,159
2021-07-21,AR,0.552,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,158
2021-07-20,AR,0.55,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,157
2021-07-19,AR,0.5489999999999999,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,156
2021-07-18,AR,0.5479999999999999,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,155
2021-07-17,AR,0.546,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,154
2021-07-16,AR,0.5429999999999999,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,153
2021-07-15,AR,0.542,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,152
2021-07-14,AR,0.54,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,151
2021-07-13,AR,0.539,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,150
2021-07-12,AR,0.5379999999999999,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,149
2021-07-11,AR,0.537,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,148
2021-07-10,AR,0.536,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,147
2021-07-09,AR,0.534,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,146
2021-07-08,AR,0.5329999999999999,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,145
2021-07-07,AR,0.532,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,144
2021-07-06,AR,0.532,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,143
2021-07-05,AR,0.531,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,142
2021-07-04,AR,0.531,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,141
2021-07-03,AR,0.53,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,140
2021-07-02,AR,0.528,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,139
2021-07-01,AR,0.527,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,138
2021-06-30,AR,0.525,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,137
