date,changecolor,cases_avg_per_100k,segmentname
2020-04-30,#970D03,5.539868131868127,Stayed Republican
2020-04-30,#AB5A68,6.3076923076923075,To Republican
2020-05-01,#030D97,9.476026785714287,Stayed Democrat
2020-05-01,#11A3D6,4.885081967213117,To Democrat
2020-05-01,#556B2F,0.9684615384615385,To other
2020-05-01,#970D03,6.062161925601739,Stayed Republican
2020-05-01,#AB5A68,5.296923076923077,To Republican
2020-05-02,#030D97,9.190022321428572,Stayed Democrat
2020-05-02,#11A3D6,4.914098360655739,To Democrat
2020-05-02,#556B2F,0.8492307692307691,To other
2020-05-02,#970D03,6.195954565312353,Stayed Republican
2020-05-02,#AB5A68,5.602307692307691,To Republican
2020-05-03,#030D97,9.431358574610243,Stayed Democrat
2020-05-03,#11A3D6,5.054098360655739,To Democrat
2020-05-03,#556B2F,1.1307692307692307,To other
2020-05-03,#970D03,6.252108932461877,Stayed Republican
2020-05-03,#AB5A68,5.666923076923077,To Republican
2020-05-04,#030D97,9.586525612472167,Stayed Democrat
2020-05-04,#11A3D6,5.099672131147543,To Democrat
2020-05-04,#556B2F,1.1323076923076925,To other
2020-05-04,#970D03,6.284430434782605,Stayed Republican
2020-05-04,#AB5A68,5.611538461538462,To Republican
2020-05-05,#030D97,9.353496659242767,Stayed Democrat
2020-05-05,#11A3D6,4.769836065573771,To Democrat
2020-05-05,#556B2F,1.106923076923077,To other
2020-05-05,#970D03,6.417058568329704,Stayed Republican
2020-05-05,#AB5A68,5.512307692307692,To Republican
2020-05-06,#030D97,9.307511111111111,Stayed Democrat
2020-05-06,#11A3D6,4.771129032258067,To Democrat
2020-05-06,#556B2F,1.2230769230769232,To other
2020-05-06,#970D03,6.368090909090898,Stayed Republican
2020-05-06,#AB5A68,5.5369230769230775,To Republican
2020-05-07,#030D97,9.151419068736145,Stayed Democrat
2020-05-07,#11A3D6,4.827580645161292,To Democrat
2020-05-07,#556B2F,1.2607692307692309,To other
2020-05-07,#970D03,6.48965056082829,Stayed Republican
2020-05-07,#AB5A68,6.343076923076923,To Republican
2020-05-08,#030D97,8.935254988913522,Stayed Democrat
2020-05-08,#11A3D6,4.563225806451614,To Democrat
2020-05-08,#556B2F,1.02,To other
2020-05-08,#970D03,6.092574257425739,Stayed Republican
2020-05-08,#AB5A68,6.621428571428572,To Republican
